PTC,PrintName,Category,GroupName,BrandName,lastInvoiceRate,SalesPrice2
SKU00927,Bingo Plus 186 Diapers S,Baby & Kids,Diapers,Bingo Plus 186,1254.97,1435.76
SKU03050,India Gate Plus 40 Atta & Flour 10kg,Staples & Cooking,Atta & Flour,India Gate Plus 40,466.97,521.77
SKU01118,Frooti Plus 136 Gift Wrap 200g,Seasonal & Gifts,Gift Wrap,Frooti Plus 136,1730.29,2008.79
SKU00643,Kissan Plus 207 Deodorant Spicy 100g,Personal Care,Deodorant,Kissan Plus 207,41.33,59.7
SKU04768,MamaEarth Plus 321 Laundry Detergent 250g,Home Care,Laundry Detergent,MamaEarth Plus 321,234.21,334.66
SKU00502,CloseUp Plus 216 Sanitary Dark 250g,Personal Care,Sanitary,CloseUp Plus 216,63.47,91.77
SKU04067,Cadbury Plus 289 Hair Color 1pc,Beauty & Cosmetics,Hair Color,Cadbury Plus 289,2013.52,2554.79
SKU00334,Tata Plus 312 Festival Packs 2pc,Seasonal & Gifts,Festival Packs,Tata Plus 312,1732.02,2488.73
SKU04685,MamaEarth Plus 16 Fruits Dark 200g,Fresh Produce,Fruits,MamaEarth Plus 16,147.08,188.6
SKU00487,Tata Plus 148 Fruits Spicy 500g,Fresh Produce,Fruits,Tata Plus 148,170.74,206.76
SKU01963,Nestle Plus 124 Cakes & Pastries 500g,Bakery,Cakes & Pastries,Nestle Plus 124,190.07,210.23
SKU00394,Nestle Plus 333 Hair Color 2pc,Beauty & Cosmetics,Hair Color,Nestle Plus 333,2114.46,2890.42
SKU04843,Dettol Plus 162 OTC Medicines 500g,Health & Wellness,OTC Medicines,Dettol Plus 162,1582.7,2293.59
SKU04867,Clinic Plus Plus 225 Ice Cream Classic 2pc,Dairy & Frozen,Ice Cream,Clinic Plus Plus 225,187.46,221.89
SKU01756,Glen Plus 240 Hair Color 250g,Beauty & Cosmetics,Hair Color,Glen Plus 240,1191.31,1351.83
SKU02516,CloseUp Plus 206 Fruits 2pc,Fresh Produce,Fruits,CloseUp Plus 206,333.52,416
SKU03586,Garnier Plus 255 Dog Food 2pc,Pet Care,Dog Food,Garnier Plus 255,152.66,206.67
SKU04316,Clinic Plus Plus 275 Toothpaste 2pc,Personal Care,Toothpaste,Clinic Plus Plus 275,363.3,466.97
SKU04967,Godrej Plus 144 Pulses Fresh 200g,Staples & Cooking,Pulses,Godrej Plus 144,204.44,258.38
SKU02100,MTR Seeds Spicy 200g,Gardening,Seeds,MTR,47.91,63.76
SKU03600,Cadbury Plus 280 Tea 1pc,Beverages (Premium),Tea,Cadbury Plus 280,342.78,453.35
SKU04122,Real Plus 170 Supplements Mint 2pc,Health & Wellness,Supplements,Real Plus 170,952.42,1105.35
SKU00030,Haldiram Cheese 100g,Dairy & Frozen,Cheese,Haldiram,350.61,415.02
SKU00066,Lifebuoy Butter & Ghee 2pc,Dairy & Frozen,Butter & Ghee,Lifebuoy,32.38,36.8
SKU00839,Camlin Plus 266 Soap 3 x 100g,Personal Care,Soap,Camlin Plus 266,231.99,330.94
SKU03907,Pepsi Plus 187 Soap 100g,Personal Care,Soap,Pepsi Plus 187,371.42,517.09
SKU03774,Ariel Plus 297 Buns & Rolls 1pc,Bakery,Buns & Rolls,Ariel Plus 297,81.28,104.62
SKU04636,Coca-Cola Plus 251 Butter & Ghee 1pc,Dairy & Frozen,Butter & Ghee,Coca-Cola Plus 251,606.08,718.03
SKU03162,Rin Plus 121 Sugar Honey 2pc,Staples & Cooking,Sugar,Rin Plus 121,156.67,216.63
SKU02660,Camlin Plus 116 Seeds 100g,Gardening,Seeds,Camlin Plus 116,880.99,974.85
SKU04616,Cadbury Plus 175 Kitchen Utensils 200g,Kitchen & Home,Kitchen Utensils,Cadbury Plus 175,3000.73,3649.26
SKU04629,Aashirvaad Plus 118 Sugar 1pc,Staples & Cooking,Sugar,Aashirvaad Plus 118,258.84,333.67
SKU02452,Kohinoor Plus 122 Notebooks 500g,Stationery,Notebooks,Kohinoor Plus 122,166.17,227.77
SKU02847,Daawat Laundry Detergent 500g,Home Care,Laundry Detergent,Daawat,498.17,684.09
SKU01145,Pepsi Plus 231 Organic 2pc,Health Foods,Organic,Pepsi Plus 231,1845.89,2374.12
SKU03079,Kohinoor Plus 224 Toothpaste 1pc,Personal Care,Toothpaste,Kohinoor Plus 224,246.71,291.6
SKU01104,Camlin Plus 29 Small Electronics (chargers) 100g,Electronics & Batteries,Small Electronics (chargers),Camlin Plus 29,1545.2,2062.62
SKU00169,Tata Tea Plus 283 Soft Drinks 200g,Food & Beverages,Soft Drinks,Tata Tea Plus 283,237.55,294.91
SKU01671,CloseUp Shampoo 1pc,Personal Care,Shampoo,CloseUp,136.37,150.26
SKU02571,Kissan Plus 39 Makeup 200g,Beauty & Cosmetics,Makeup,Kissan Plus 39,1087.29,1271.39
SKU02378,Parle Plus 295 Floor Cleaner 200g,Home Care,Floor Cleaner,Parle Plus 295,51.86,69.13
SKU04396,Pantene Car Care Mint 500g,Automotive,Car Care,Pantene,2087.67,2396.76
SKU04258,Huggies Pulses 100g,Staples & Cooking,Pulses,Huggies,286.21,343.49
SKU03863,MTR Edible Oil 5L,Staples & Cooking,Edible Oil,MTR,103.26,121.76
SKU00024,Aashirvaad Plus 279 Biscuits 50g,Food & Beverages,Biscuits,Aashirvaad Plus 279,25.83,31.03
SKU02634,CloseUp Plus 216 Toothpaste 1pc,Personal Care,Toothpaste,CloseUp Plus 216,132.52,160.15
SKU03341,Garnier Plus 182 Bread 100g,Bakery,Bread,Garnier Plus 182,197.31,271.31
SKU02216,Himalaya Plus 276 Fruits 200g,Fresh Produce,Fruits,Himalaya Plus 276,186.3,231.96
SKU03683,Godrej Plus 112 Wipes 100g,Baby & Kids,Wipes,Godrej Plus 112,504.16,654.47
SKU04725,Godrej Plus 144 Pulses 1pc,Staples & Cooking,Pulses,Godrej Plus 144,580.64,735.01
SKU01908,Bikaji Plus 50 Chocolates 150g,Food & Beverages,Chocolates,Bikaji Plus 50,207.94,284.18
SKU00085,Ariel Plus 44 Festival Packs 1pc,Seasonal & Gifts,Festival Packs,Ariel Plus 44,1871.59,2075.82
SKU00228,Britannia Plus 230 Herbs 2pc,Fresh Produce,Herbs,Britannia Plus 230,135.4,168.93
SKU00297,Camlin Plus 116 Seeds Spicy 200g,Gardening,Seeds,Camlin Plus 116,1008.59,1390.74
SKU01002,India Gate Plus 354 Buns & Rolls 250g,Bakery,Buns & Rolls,India Gate Plus 354,239.9,309.59
SKU02139,Maggi Plus 218 Toilet Cleaner 200g,Home Care,Toilet Cleaner,Maggi Plus 218,614.56,793.2
SKU00712,Parle Kitchen Utensils 500g,Kitchen & Home,Kitchen Utensils,Parle,1208.93,1704.56
SKU02802,Britannia Plus 18 Frozen Meals 2pc,Dairy & Frozen,Frozen Meals,Britannia Plus 18,319.04,461.41
SKU02528,Patanjali Plus 58 Sauces & Spreads 1pc,Food & Beverages,Sauces & Spreads,Patanjali Plus 58,40.38,49.25
SKU03753,Pedigree Hair Color 2pc,Beauty & Cosmetics,Hair Color,Pedigree,2645.67,3277.41
SKU03322,Borosil Plus 271 Air Freshener 250g,Home Care,Air Freshener,Borosil Plus 271,129.2,168.57
SKU03182,Britannia Plus 24 Nail Care 200g,Beauty & Cosmetics,Nail Care,Britannia Plus 24,1995.7,2706.13
SKU04184,Pepsi Plus 2 Wipes 250g,Baby & Kids,Wipes,Pepsi Plus 2,957.44,1339.5
SKU01616,MTR Plus 262 Tea Fresh 250g,Beverages (Premium),Tea,MTR Plus 262,988.26,1337.99
SKU03025,Huggies Rice 2kg,Staples & Cooking,Rice,Huggies,440.18,589.22
SKU01414,Dettol Plus 245 Sanitary 2pc,Personal Care,Sanitary,Dettol Plus 245,199.48,286.82
SKU00764,Bikaji Plus 50 Instant Foods 2pc,Food & Beverages,Instant Foods,Bikaji Plus 50,173.11,220.16
SKU00656,Fevicol Plus 178 Energy Drinks Fresh 200g,Beverages (Premium),Energy Drinks,Fevicol Plus 178,983.09,1328.17
SKU04798,Real Sauces & Spreads 2pc,Food & Beverages,Sauces & Spreads,Real,141.82,181.69
SKU03850,Pantene Plus 236 Spices 250g,Staples & Cooking,Spices,Pantene Plus 236,451.29,644.15
SKU04154,Colgate Plus 301 Butter & Ghee 100g,Dairy & Frozen,Butter & Ghee,Colgate Plus 301,321.68,421.39
SKU00469,Aashirvaad Plus 81 Diapers S,Baby & Kids,Diapers,Aashirvaad Plus 81,330.13,405.57
SKU00158,Huggies Plus 176 Batteries 1pc,Electronics & Batteries,Batteries,Huggies Plus 176,300.9,331.6
SKU01296,Borosil Plus 99 Dishwash 200g,Home Care,Dishwash,Borosil Plus 99,436.5,612.7
SKU00498,Fevicol Plus 105 Energy Drinks Classic 200g,Beverages (Premium),Energy Drinks,Fevicol Plus 105,128.45,160.71
SKU04741,Huggies Plus 113 Soap 3 x 100g,Personal Care,Soap,Huggies Plus 113,421.83,609.15
SKU02941,CloseUp Plus 206 Vegetables 200g,Fresh Produce,Vegetables,CloseUp Plus 206,212.7,267.3
SKU03457,Clinic Plus Plus 225 Paneer Fresh 250g,Dairy & Frozen,Paneer,Clinic Plus Plus 225,114.05,156.09
SKU00374,Bingo Plus 335 Basic Tools 500g,Gardening,Basic Tools,Bingo Plus 335,1149.57,1510.19
SKU00080,Godrej Plus 62 Basic Tools 250g,Gardening,Basic Tools,Godrej Plus 62,560.86,664.57
SKU01554,Pepsi Plus 187 Toothpaste Honey 250g,Personal Care,Toothpaste,Pepsi Plus 187,203.45,282.66
SKU01670,Drools Plus 316 Bread 250g,Bakery,Bread,Drools Plus 316,203.66,225.4
SKU02132,Classmate Plus 119 Notebooks Masala 200g,Stationery,Notebooks,Classmate Plus 119,16.98,24.29
SKU04440,Fevicol Plus 174 Chocolates 100g,Food & Beverages,Chocolates,Fevicol Plus 174,102.4,112.94
SKU00466,Classmate Plus 102 Herbs Dark 500g,Fresh Produce,Herbs,Classmate Plus 102,171.84,202.91
SKU00249,Kelloggs Plus 208 Seeds 1pc,Gardening,Seeds,Kelloggs Plus 208,121.44,155.2
SKU00932,CloseUp Plus 209 Air Freshener 2pc,Home Care,Air Freshener,CloseUp Plus 209,295.9,401.38
SKU01336,India Gate Plus 235 Makeup Masala 1pc,Beauty & Cosmetics,Makeup,India Gate Plus 235,954.36,1293.4
SKU04525,Pampers Plus 96 Air Freshener 250g,Home Care,Air Freshener,Pampers Plus 96,118.66,148.99
SKU01339,Pampers Plus 273 Toothpaste 250g,Personal Care,Toothpaste,Pampers Plus 273,186.38,208.8
SKU01407,Tata Tea Plus 283 Instant Foods 100g,Food & Beverages,Instant Foods,Tata Tea Plus 283,198.43,242.69
SKU01091,MamaEarth Pet Accessories 250g,Pet Care,Pet Accessories,MamaEarth,497.71,614.55
SKU04210,Camlin Plus 266 Soap 125g,Personal Care,Soap,Camlin Plus 266,218.05,263.78
SKU00743,Borosil Cheese 100g,Dairy & Frozen,Cheese,Borosil,175.79,220.12
SKU02324,Garnier Plus 182 Cakes & Pastries 200g,Bakery,Cakes & Pastries,Garnier Plus 182,286,414.51
SKU03602,Maggi Plus 26 Supplements 250g,Health & Wellness,Supplements,Maggi Plus 26,948.16,1289.7
SKU02124,Nivea Plus 190 Small Electronics (chargers) Mint 500g,Electronics & Batteries,Small Electronics (chargers),Nivea Plus 190,860.69,1137.14
SKU02095,Huggies Pulses Mint 100g,Staples & Cooking,Pulses,Huggies,568.92,803.9
SKU00241,Tide Plus 126 Bread 250g,Bakery,Bread,Tide Plus 126,238.26,318.14
SKU02352,Drools OTC Medicines 1pc,Health & Wellness,OTC Medicines,Drools,74.45,97.83
SKU01371,Patanjali Plus 181 Edible Oil 5L,Staples & Cooking,Edible Oil,Patanjali Plus 181,103.55,140.55
SKU01058,Nivea Plus 63 Fruits 200g,Fresh Produce,Fruits,Nivea Plus 63,220.76,249.97
SKU04817,CloseUp Plus 161 Edible Oil 2L,Staples & Cooking,Edible Oil,CloseUp Plus 161,668.14,780.56
SKU00200,Colgate Plus 45 Cookware 200g,Kitchen & Home,Cookware,Colgate Plus 45,4237.86,5432.53
SKU02281,Fevicol Plus 57 Fruits 1pc,Fresh Produce,Fruits,Fevicol Plus 57,184.42,209.98
SKU04750,Nivea Plus 13 Snacks Fresh 500g,Food & Beverages,Snacks,Nivea Plus 13,115.15,149.4
SKU02221,Lifebuoy Plus 259 First Aid Fresh 250g,Health & Wellness,First Aid,Lifebuoy Plus 259,942.46,1052.05
SKU04772,Lifebuoy Plus 87 Edible Oil 500ml,Staples & Cooking,Edible Oil,Lifebuoy Plus 87,511.72,629.53
SKU02820,Maggi Plus 76 Gift Wrap 250g,Seasonal & Gifts,Gift Wrap,Maggi Plus 76,1154.08,1487.54
SKU03151,Coca-Cola Plus 306 Paneer 250g,Dairy & Frozen,Paneer,Coca-Cola Plus 306,486.45,608.45
SKU04257,CloseUp Plus 299 Car Care Masala 500g,Automotive,Car Care,CloseUp Plus 299,346.46,424.02
SKU03108,Surf Excel Plus 120 Gift Wrap 250g,Seasonal & Gifts,Gift Wrap,Surf Excel Plus 120,807.9,1049.54
SKU01974,Clinic Plus Plus 275 Ready-to-eat Masala 2pc,Convenience,Ready-to-eat,Clinic Plus Plus 275,454,628.48
SKU01376,Glen Plus 135 Juices 1L,Food & Beverages,Juices,Glen Plus 135,98.18,141.68
SKU03969,Glen Plus 308 Motor Oils (small) 5L,Automotive,Motor Oils (small),Glen Plus 308,1514.84,1813.39
SKU04063,Raymond Plus 106 Atta & Flour 10kg,Staples & Cooking,Atta & Flour,Raymond Plus 106,225.19,279.31
SKU04446,Bajaj Plus 28 Batteries 250g,Electronics & Batteries,Batteries,Bajaj Plus 28,52.95,74.27
SKU03558,Ariel Plus 195 Vegetables 2pc,Fresh Produce,Vegetables,Ariel Plus 195,125.87,174.68
SKU00965,Lifebuoy Plus 183 Edible Oil 500ml,Staples & Cooking,Edible Oil,Lifebuoy Plus 183,54.83,73.84
SKU00180,Bikaji Plus 210 Biscuits 150g,Food & Beverages,Biscuits,Bikaji Plus 210,77.13,104.7
SKU03699,MamaEarth Plus 321 Floor Cleaner 200g,Home Care,Floor Cleaner,MamaEarth Plus 321,354.66,437.05
SKU03822,Himalaya Rice Classic 10kg,Staples & Cooking,Rice,Himalaya,344.91,424.07
SKU04879,Real Plus 107 Chocolates 50g,Food & Beverages,Chocolates,Real Plus 107,86.15,124.1
SKU03900,Frooti Dishwash 100g,Home Care,Dishwash,Frooti,256.58,292.69
SKU04488,Bajaj Plus 103 Ready-to-eat 500g,Convenience,Ready-to-eat,Bajaj Plus 103,1053.44,1515.94
SKU03239,Pantene Plus 213 Milk 2L,Dairy & Frozen,Milk,Pantene Plus 213,436,542.72
SKU02975,Clinic Plus Plus 225 Car Care 500g,Automotive,Car Care,Clinic Plus Plus 225,2005.53,2267.22
SKU03581,Camlin Plus 116 Spices 200g,Staples & Cooking,Spices,Camlin Plus 116,691.98,841.79
SKU02888,Borosil Plus 99 Toilet Cleaner 1pc,Home Care,Toilet Cleaner,Borosil Plus 99,351.82,394.76
SKU02576,Maggi Plus 218 Dishwash 500g,Home Care,Dishwash,Maggi Plus 218,276.24,386.67
SKU01420,Garnier Plus 67 Breakfast Cereals Spicy 1pc,Food & Beverages,Breakfast Cereals,Garnier Plus 67,147.95,170.76
SKU03908,Coca-Cola Plus 251 Paneer Honey 2pc,Dairy & Frozen,Paneer,Coca-Cola Plus 251,168.47,236.5
SKU04674,MTR Plus 47 Sanitary Honey 100g,Personal Care,Sanitary,MTR Plus 47,278.06,383.17
SKU04903,Pepsi Plus 187 Soap 100g,Personal Care,Soap,Pepsi Plus 187,383.09,433.36
SKU01861,Raymond Plus 1 First Aid 200g,Health & Wellness,First Aid,Raymond Plus 1,488.29,681.83
SKU00009,Nestle Plus 328 Makeup 1pc,Beauty & Cosmetics,Makeup,Nestle Plus 328,787.47,1008.05
SKU02895,Cadbury Plus 352 Paneer 200g,Dairy & Frozen,Paneer,Cadbury Plus 352,139.53,186.37
SKU02848,Dettol Plus 245 Deodorant Honey 200g,Personal Care,Deodorant,Dettol Plus 245,60.13,77.02
SKU03665,Coca-Cola Frozen Meals 250g,Dairy & Frozen,Frozen Meals,Coca-Cola,106.64,143.6
SKU00145,CloseUp Plus 161 Rice 1kg,Staples & Cooking,Rice,CloseUp Plus 161,104.36,133.23
SKU02105,CloseUp Plus 299 Paneer 100g,Dairy & Frozen,Paneer,CloseUp Plus 299,541.56,628.94
SKU03144,Lifebuoy Plus 37 Toilet Cleaner Spicy 250g,Home Care,Toilet Cleaner,Lifebuoy Plus 37,47.28,55.34
SKU00842,Godrej Plus 144 Rice 2kg,Staples & Cooking,Rice,Godrej Plus 144,762.14,1054.13
SKU01129,Haldiram Plus 84 Toothpaste 100g,Personal Care,Toothpaste,Haldiram Plus 84,587.98,816.18
SKU00152,Patanjali Plus 146 Coffee 1pc,Beverages (Premium),Coffee,Patanjali Plus 146,545.6,605.79
SKU03592,Garnier Plus 255 Cat Food 100g,Pet Care,Cat Food,Garnier Plus 255,573.01,787.95
SKU01053,Nivea Plus 305 Pulses 2pc,Staples & Cooking,Pulses,Nivea Plus 305,377.16,434.49
SKU01591,MamaEarth Plus 323 Toilet Cleaner 200g,Home Care,Toilet Cleaner,MamaEarth Plus 323,120.78,154.26
SKU03009,Coca-Cola Plus 160 Small Electronics (chargers) Masala 2pc,Electronics & Batteries,Small Electronics (chargers),Coca-Cola Plus 160,1243.96,1617.88
SKU02030,Borosil Plus 99 Dishwash 2pc,Home Care,Dishwash,Borosil Plus 99,474.36,683.92
SKU03419,Godrej Plus 325 Soft Drinks 2pc,Food & Beverages,Soft Drinks,Godrej Plus 325,242.85,349.3
SKU01808,Fevicol Plus 105 Energy Drinks 1pc,Beverages (Premium),Energy Drinks,Fevicol Plus 105,40.9,52.83
SKU02697,Lux Batteries 100g,Electronics & Batteries,Batteries,Lux,362.25,488.99
SKU03040,Himalaya Sugar Dark 500g,Staples & Cooking,Sugar,Himalaya,107.75,131.63
SKU00473,Tata Plus 237 Deodorant 250g,Personal Care,Deodorant,Tata Plus 237,324.58,367.62
SKU03290,Haldiram Plus 84 Skin Care Classic 1pc,Personal Care,Skin Care,Haldiram Plus 84,427.54,529.88
SKU04075,Pantene Plus 269 Gift Wrap 100g,Seasonal & Gifts,Gift Wrap,Pantene Plus 269,1060.05,1464.15
SKU03497,India Gate Plus 59 Ice Cream 250g,Dairy & Frozen,Ice Cream,India Gate Plus 59,25.23,35.63
SKU00280,Kohinoor Plus 82 Juices 1L,Food & Beverages,Juices,Kohinoor Plus 82,40.99,49.81
SKU01742,Cadbury Plus 175 Sauces & Spreads 250g,Food & Beverages,Sauces & Spreads,Cadbury Plus 175,146.88,191.94
SKU04625,Red Label Plus 134 Paneer 2pc,Dairy & Frozen,Paneer,Red Label Plus 134,498.7,674.31
SKU02887,Godrej Plus 200 Soap 75g,Personal Care,Soap,Godrej Plus 200,144.56,163.83
SKU01942,Pampers Plus 232 Coffee 2pc,Beverages (Premium),Coffee,Pampers Plus 232,115.96,141.71
SKU00101,Lifebuoy Plus 73 Meal Kits Honey 100g,Convenience,Meal Kits,Lifebuoy Plus 73,52.38,61.77
SKU02805,Coca-Cola Plus 345 Batteries 100g,Electronics & Batteries,Batteries,Coca-Cola Plus 345,980.49,1136.27
SKU03571,Tata Plus 278 Vegetables 200g,Fresh Produce,Vegetables,Tata Plus 278,282.33,402.89
SKU03685,Red Label Buns & Rolls 250g,Bakery,Buns & Rolls,Red Label,24,33.1
SKU03662,Tata Plus 6 Vegetables 200g,Fresh Produce,Vegetables,Tata Plus 6,67.11,86.86
SKU00531,Nivea Plus 30 Motor Oils (small) 2L,Automotive,Motor Oils (small),Nivea Plus 30,1744,2159.22
SKU01887,Tide Plus 126 Buns & Rolls Spicy 2pc,Bakery,Buns & Rolls,Tide Plus 126,230.91,312.98
SKU00682,Parle Sauces & Spreads 1pc,Food & Beverages,Sauces & Spreads,,135.57,174.18
SKU03795,Bingo Plus 265 Toilet Cleaner 2pc,Home Care,Toilet Cleaner,Bingo Plus 265,40.77,52.15
SKU03945,Clinic Plus Plus 225 Ice Cream 200g,Dairy & Frozen,Ice Cream,Clinic Plus Plus 225,369.56,434.32
SKU04667,CloseUp Plus 161 Edible Oil 5L,Staples & Cooking,Edible Oil,CloseUp Plus 161,437.8,542.79
SKU02019,India Gate Plus 128 Chips & Namkeen 200g,Food & Beverages,Chips & Namkeen,India Gate Plus 128,110.95,153.85
SKU01097,CloseUp Plus 216 Soap 3 x 100g,Personal Care,Soap,CloseUp Plus 216,221.48,317.81
SKU00830,Maggi Plus 341 Basic Tools Dark 500g,Gardening,Basic Tools,Maggi Plus 341,1252,1457.67
SKU02806,MTR Plus 20 OTC Medicines Masala 250g,Health & Wellness,OTC Medicines,MTR Plus 20,60.06,84.18
SKU03830,Tata Plus 148 Fruits 1pc,Fresh Produce,Fruits,Tata Plus 148,338.09,426.51
SKU04382,CloseUp Plus 299 Cheese 500g,Dairy & Frozen,Cheese,CloseUp Plus 299,164.13,229.4
SKU03892,Glen Plus 135 Snacks 250g,Food & Beverages,Snacks,Glen Plus 135,81.19,109.31
SKU00765,Glen Plus 308 Car Care 250g,Automotive,Car Care,Glen Plus 308,949.18,1215.71
SKU02768,Tata Tea Plus 283 Biscuits 100g,Food & Beverages,Biscuits,Tata Tea Plus 283,30.92,42.98
SKU04329,Borosil Plus 99 Floor Cleaner Masala 200g,Home Care,Floor Cleaner,Borosil Plus 99,179.19,223.46
SKU03296,Harpic Plus 54 Meal Kits 2pc,Convenience,Meal Kits,Harpic Plus 54,1076.12,1305.78
SKU02195,Pantene Plus 269 Festival Packs 200g,Seasonal & Gifts,Festival Packs,Pantene Plus 269,2605.88,3442.12
SKU02358,Pepsi Plus 187 Meal Kits 1pc,Convenience,Meal Kits,Pepsi Plus 187,863.22,1072.56
SKU03426,Fiama Plus 356 Tea 200g,Beverages (Premium),Tea,Fiama Plus 356,956.92,1217.86
SKU03980,Red Label Plus 309 Paneer 100g,Dairy & Frozen,Paneer,Red Label Plus 309,479.04,568.22
SKU00912,Garnier Plus 67 Juices 500ml,Food & Beverages,Juices,Garnier Plus 67,249.52,361.33
SKU03146,Borosil Cheese Spicy 1pc,Dairy & Frozen,Cheese,Borosil,186.78,206.32
SKU01000,Raymond Plus 106 Basic Tools 200g,Gardening,Basic Tools,Raymond Plus 106,838.41,1045.89
SKU03654,Colgate Plus 131 Cheese Masala 2pc,Dairy & Frozen,Cheese,Colgate Plus 131,73.88,101.41
SKU02484,Parle Plus 127 Dog Food Fresh 100g,Pet Care,Dog Food,Parle Plus 127,394.29,562.98
SKU04077,Godrej Plus 200 Soap 100g,Personal Care,Soap,Godrej Plus 200,377.95,510.63
SKU02371,India Gate Plus 36 Festival Packs 200g,Seasonal & Gifts,Festival Packs,India Gate Plus 36,1902.35,2708.32
SKU04839,Kissan Plus 264 Deodorant Spicy 2pc,Personal Care,Deodorant,Kissan Plus 264,232.15,274.19
SKU00034,Bajaj Plus 330 Vegetables Dark 2pc,Fresh Produce,Vegetables,Bajaj Plus 330,231.47,326.38
SKU03790,Pampers Plus 94 Seeds 500g,Gardening,Seeds,Pampers Plus 94,1082.03,1298.72
SKU01021,Pedigree Plus 334 Laundry Detergent 2pc,Home Care,Laundry Detergent,Pedigree Plus 334,361.35,476.6
SKU01648,Godrej Plus 91 Dishwash 100g,Home Care,Dishwash,Godrej Plus 91,652.39,837.35
SKU00734,Real Plus 107 Juices 2L,Food & Beverages,Juices,Real Plus 107,184.57,262.16
SKU04583,Camlin Plus 42 Dishwash Dark 100g,Home Care,Dishwash,Camlin Plus 42,159.09,196.78
SKU03275,Bingo Plus 265 Toilet Cleaner 100g,Home Care,Toilet Cleaner,Bingo Plus 265,630.21,821.01
SKU01621,Patanjali Plus 58 Kitchen Utensils 100g,Kitchen & Home,Kitchen Utensils,Patanjali Plus 58,505.2,663.09
SKU03136,Bajaj Plus 360 Fruits Mint 1pc,Fresh Produce,Fruits,Bajaj Plus 360,268.25,320.59
SKU02690,Pampers Gluten-Free 500g,Health Foods,Gluten-Free,Pampers,135.12,195.39
SKU02708,Drools Plus 31 Bread 1pc,Bakery,Bread,Drools Plus 31,145.65,187.09
SKU00298,India Gate Plus 59 Paneer Honey 250g,Dairy & Frozen,Paneer,India Gate Plus 59,113.22,152.02
SKU02340,Tropicana Plus 145 Dog Food 500g,Pet Care,Dog Food,Tropicana Plus 145,702.73,885.2
SKU00654,Bingo Plus 244 Breakfast Cereals 1pc,Food & Beverages,Breakfast Cereals,Bingo Plus 244,207.75,272.86
SKU03775,Coca-Cola Plus 345 Batteries 500g,Electronics & Batteries,Batteries,Coca-Cola Plus 345,1823.63,2089.57
SKU01256,Haldiram Plus 242 Tea 500g,Beverages (Premium),Tea,Haldiram Plus 242,638.93,925.31
SKU04521,Kissan Plus 48 Tea 500g,Beverages (Premium),Tea,Kissan Plus 48,1216.78,1528.88
SKU00231,Borosil Plus 99 Floor Cleaner 250g,Home Care,Floor Cleaner,Borosil Plus 99,510.09,737.67
SKU03277,Colgate Plus 301 Car Care 200g,Automotive,Car Care,Colgate Plus 301,173.65,216.92
SKU03231,Raymond Plus 92 Air Freshener Dark 100g,Home Care,Air Freshener,Raymond Plus 92,472.52,631.29
